,Cladophora,Grimmia,Bryum,Cratoneuron,Pylaisiella,Oryza,Zea,Orchid,Espeletia,Rothmannia,Solanum,Microdesmis,Vitis,Santiria,Brassica_napus,Brassica_oleracea,Paeonia_suffruticosa,Paeonia_rockii,Pinus,Pinus_flexilis
Cladophora,0,2.07335052571197e-314,2.1303638223104e-314,2.48852426872566e-314,2.14154180458595e-314,3.26342598467575e-314,3.13526333245164e-314,2.79129407883718e-314,3.55210724807693e-314,2.47830916635295e-312,3.46778478762444e-314,3.21408214913635e-314,3.79810167346706e-314,3.60231560561221e-314,2.38998541135573e-312,2.39137937054042e-312,3.12364113278952e-314,2.78566917456168e-314,2.988129769394e-314,2.92355547297964e-314
Grimmia,2.07335052571197e-314,0,1.16012619060856e-314,1.51828663702382e-314,1.17130417288411e-314,3.25991840465428e-314,3.13175575243018e-314,2.78778649881572e-314,3.54859966805546e-314,2.47827409055274e-312,3.46427720760297e-314,3.21057456911488e-314,3.79459409344559e-314,3.59880802559074e-314,2.38995033555552e-312,2.39134429474021e-312,3.12013355276806e-314,2.78216159454022e-314,2.98462218937254e-314,2.92004789295818e-314
Bryum,2.1303638223104e-314,1.16012619060856e-314,0,1.16012621580591e-314,8.13143751666204e-315,3.31693170125271e-314,3.18876904902861e-314,2.84479979541415e-314,3.60561296465389e-314,2.47884422351872e-312,3.5212905042014e-314,3.26758786571331e-314,3.85160739004402e-314,3.65582132218917e-314,2.3905204685215e-312,2.39191442770619e-312,3.17714684936649e-314,2.83917489113864e-314,3.04163548597096e-314,2.97706118955661e-314
Cratoneuron,2.48852426872566e-314,1.51828663702382e-314,1.16012621580591e-314,0,6.19747698211368e-315,3.67509214766797e-314,3.54692949544386e-314,3.2029602418294e-314,3.96377341106915e-314,2.48242582798287e-312,3.87945095061666e-314,3.62574831212857e-314,4.20976783645928e-314,4.01398176860443e-314,2.39410207298566e-312,2.39549603217035e-312,3.53530729578174e-314,3.1973353375539e-314,3.39979593238622e-314,3.33522163597186e-314
Pylaisiella,2.14154180458595e-314,1.17130417288411e-314,8.13143751666204e-315,6.19747698211368e-315,0,3.32810968352826e-314,3.19994703130415e-314,2.8559777776897e-314,3.61679094692944e-314,2.47895600334148e-312,3.53246848647695e-314,3.27876584798886e-314,3.86278537231957e-314,3.66699930446472e-314,2.39063224834426e-312,2.39202620752895e-312,3.18832483164204e-314,2.85035287341419e-314,3.05281346824651e-314,2.98823917183216e-314
Oryza,3.26342598467575e-314,3.25991840465428e-314,3.31693170125271e-314,3.67509214766797e-314,3.32810968352826e-314,0,1.0888669468782e-314,1.99041945540163e-314,2.8886513753989e-314,2.47167460762617e-312,2.80432891494642e-314,2.55062627645832e-314,3.13464580078904e-314,2.93885973293418e-314,2.38335085262895e-312,2.38474481181364e-312,2.4601852601115e-314,2.12221330188366e-314,2.92917610753984e-314,2.86460181112548e-314
Zea,3.13526333245164e-314,3.13175575243018e-314,3.18876904902861e-314,3.54692949544386e-314,3.19994703130415e-314,1.0888669468782e-314,0,1.86225680317753e-314,2.7604887231748e-314,2.47039298110393e-312,2.67616626272231e-314,2.42246362423422e-314,3.00648314856493e-314,2.81069708071008e-314,2.38206922610671e-312,2.3834631852914e-312,2.3320226078874e-314,1.99405064965955e-314,2.80101345531573e-314,2.73643915890137e-314
Orchid,2.79129407883718e-314,2.78778649881572e-314,2.84479979541415e-314,3.2029602418294e-314,2.8559777776897e-314,1.99041945540163e-314,1.86225680317753e-314,0,2.41651946956034e-314,2.46695328856779e-312,2.33219700910785e-314,2.07849437061976e-314,2.66251389495047e-314,2.46672782709562e-314,2.37862953357057e-312,2.38002349275526e-312,1.98805335427294e-314,1.65008139604509e-314,2.45704420170127e-314,2.39246990528692e-314
Espeletia,3.55210724807693e-314,3.54859966805546e-314,3.60561296465389e-314,3.96377341106915e-314,3.61679094692944e-314,2.8886513753989e-314,2.7604887231748e-314,2.41651946956034e-314,0,2.46377316137314e-312,2.01418428964336e-314,1.76048165313153e-314,2.34450117746224e-314,2.14871510960739e-314,2.37544940639568e-312,2.37684336558038e-312,1.6700406367847e-314,1.33206867855686e-314,3.21785737094102e-314,3.15328307452666e-314
Rothmannia,2.47830916635295e-312,2.47827409055274e-312,2.47884422351872e-312,2.48242582798287e-312,2.47895600334148e-312,2.47167460762617e-312,2.47039298110393e-312,2.46695328856779e-312,2.46377316137314e-312,0,2.46156611060814e-312,2.4603929104035e-312,2.46623310564681e-312,2.46427524496826e-312,4.81823750026787e-312,4.81963145945256e-312,2.45948850024003e-312,2.45610878065775e-312,2.47496666758159e-312,2.47432092461745e-312
Solanum,3.46778478762444e-314,3.46427720760297e-314,3.5212905042014e-314,3.87945095061666e-314,3.53246848647695e-314,2.80432891494642e-314,2.67616626272231e-314,2.33219700910785e-314,2.01418428964336e-314,2.46156611060814e-312,0,1.67615919267904e-314,2.26017871700975e-314,2.0643926491549e-314,2.37460618179116e-312,2.37600014097585e-312,1.58571817633222e-314,1.24774621810437e-314,3.13353491048853e-314,3.06896061407417e-314
Microdesmis,3.21408214913635e-314,3.21057456911488e-314,3.26758786571331e-314,3.62574831212857e-314,3.27876584798886e-314,2.55062627645832e-314,2.42246362423422e-314,2.07849437061976e-314,1.76048165313153e-314,2.4603929104035e-312,1.67615919267904e-314,0,1.5913018073518e-314,1.39551573949695e-314,2.36791741269458e-312,2.36931137187927e-312,1.33201553784412e-314,9.9404357961628e-315,2.87983227200044e-314,2.81525797558608e-314
Vitis,3.79810167346706e-314,3.79459409344559e-314,3.85160739004402e-314,4.20976783645928e-314,3.86278537231957e-314,3.13464580078904e-314,3.00648314856493e-314,2.66251389495047e-314,2.34450117746224e-314,2.46623310564681e-312,2.26017871700975e-314,1.5913018073518e-314,0,1.97953526382766e-314,2.37375760793789e-312,2.37515156712258e-312,1.91603506217484e-314,1.57806310394699e-314,3.46385179633115e-314,3.39927749991679e-314
Santiria,3.60231560561221e-314,3.59880802559074e-314,3.65582132218917e-314,4.01398176860443e-314,3.66699930446472e-314,2.93885973293418e-314,2.81069708071008e-314,2.46672782709562e-314,2.14871510960739e-314,2.46427524496826e-312,2.0643926491549e-314,1.39551573949695e-314,1.97953526382766e-314,0,2.37179972770422e-312,2.37319368688891e-312,1.72024899431999e-314,1.38227703609214e-314,3.2680657284763e-314,3.20349143206194e-314
Brassica_napus,2.38998541135573e-312,2.38995033555552e-312,2.3905204685215e-312,2.39410207298566e-312,2.39063224834426e-312,2.38335085262895e-312,2.38206922610671e-312,2.37862953357057e-312,2.37544940639568e-312,4.81823750026787e-312,2.37460618179116e-312,2.36791741269458e-312,2.37375760793789e-312,2.37179972770422e-312,0,2.75778534516858e-315,2.37116474524281e-312,2.36778502566053e-312,2.38664291258437e-312,2.38599716962023e-312
Brassica_oleracea,2.39137937054042e-312,2.39134429474021e-312,2.39191442770619e-312,2.39549603217035e-312,2.39202620752895e-312,2.38474481181364e-312,2.3834631852914e-312,2.38002349275526e-312,2.37684336558038e-312,4.81963145945256e-312,2.37600014097585e-312,2.36931137187927e-312,2.37515156712258e-312,2.37319368688891e-312,2.75778534516858e-315,0,2.3725587044275e-312,2.36917898484522e-312,2.38803687176907e-312,2.38739112880492e-312
Paeonia_suffruticosa,3.12364113278952e-314,3.12013355276806e-314,3.17714684936649e-314,3.53530729578174e-314,3.18832483164204e-314,2.4601852601115e-314,2.3320226078874e-314,1.98805335427294e-314,1.6700406367847e-314,2.45948850024003e-312,1.58571817633222e-314,1.33201553784412e-314,1.91603506217484e-314,1.72024899431999e-314,2.37116474524281e-312,2.3725587044275e-312,0,4.74354574275543e-315,2.78939125565361e-314,2.72481695923926e-314
Paeonia_rockii,2.78566917456168e-314,2.78216159454022e-314,2.83917489113864e-314,3.1973353375539e-314,2.85035287341419e-314,2.12221330188366e-314,1.99405064965955e-314,1.65008139604509e-314,1.33206867855686e-314,2.45610878065775e-312,1.24774621810437e-314,9.9404357961628e-315,1.57806310394699e-314,1.38227703609214e-314,2.36778502566053e-312,2.36917898484522e-312,4.74354574275543e-315,0,2.45141929742577e-314,2.38684500101141e-314
Pinus,2.988129769394e-314,2.98462218937254e-314,3.04163548597096e-314,3.39979593238622e-314,3.05281346824651e-314,2.92917610753984e-314,2.80101345531573e-314,2.45704420170127e-314,3.21785737094102e-314,2.47496666758159e-312,3.13353491048853e-314,2.87983227200044e-314,3.46385179633115e-314,3.2680657284763e-314,2.38664291258437e-312,2.38803687176907e-312,2.78939125565361e-314,2.45141929742577e-314,0,4.86982867479963e-315
Pinus_flexilis,2.92355547297964e-314,2.92004789295818e-314,2.97706118955661e-314,3.33522163597186e-314,2.98823917183216e-314,2.86460181112548e-314,2.73643915890137e-314,2.39246990528692e-314,3.15328307452666e-314,2.47432092461745e-312,3.06896061407417e-314,2.81525797558608e-314,3.39927749991679e-314,3.20349143206194e-314,2.38599716962023e-312,2.38739112880492e-312,2.72481695923926e-314,2.38684500101141e-314,4.86982867479963e-315,0
