project_id,folder,found_by,number_samples,host_species,lat ,long,location,date,source,data_link,paper_link,barcodes,lab_or_field_collection,seq_length,ERR_format,notes,
PRJNA343586,Cladophora,Kat,1,Cladophora oligoclona,40.5143,115.8187,China,,SRA (3/3),https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP091023 ,NA,,,602,,,Chladophora
PRJNA343586,Cratoneuron,Kat,1,Cratoneuron filicinum var. filicinum (Hedw.)?,40.5143,115.8187,China,,SRA (3/3),https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP091023 ,NA,,,602,,,Cratoneuron
PRJNA343586,Pylaisiella,Kat,1,Pylaisiella polyantha (Hedw.) Grout,40.5147,115.8188,China,,SRA (3/3),https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP091023 ,NA,,,602,,,Pylaisiella
PRJNA343586,Bryum,Kat,1,Bryum algovicum Sendt.,40.5146,115.8189,China,,SRA (3/3),https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP091023 ,NA,,,602,,,Bryum
PRJNA343586,Grimmia,Kat,1,Grimmia pilifera P. Beauv.,40.515,115.8189,China,,SRA (3/3),https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP091023 ,NA,,,602,,,Grimmia
PRJNA325438,Orchid,Kat,1,Orchid Phalaenopsis,10.548,76.255,"Vellanikkara, Kerala, India",,SRA (3/3),https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP078033,NA,,,302,,,Orchid
PRJNA307272,Pinus_flexilis,Kat,7,Pinus flexilis and Picea engelmanni,40.03,-105.53,USA,,SRA (3/3),https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP067933,https://www.frontiersin.org/articles/10.3389/fmicb.2014.00333/full,,,~302,,,Pinus_flexilis
PRJEB7137,Solanum,Kat,9,Solanum lycopersicum,-34.95,-58.13,"La Plata, Argentina",,SRA (3/3),https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJEB7137&go=go,https://academic.oup.com/femsle/article/351/2/187/429402,,,500,Y,,Solanum
PRJNA288708,Espeletia,Kat,12,Espeletia,4.87,-75.26,Colombia,,SRA (3/3),https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP060388,http://aem.asm.org/content/82/6/1807.short,,,~250,,variable lengths,Espeletia
PRJNA381586,Brassica_napus,Hannah,48,Brassica napus,39.9,116.41,China,,SRA (1/3),https://www.ncbi.nlm.nih.gov/bioproject/PRJNA381586/,NA,,Lab,300,,,Brassica_napus
PRJNA310879,Brassica_oleracea,Hannah,24,Brassica oleracea,37.84,-84.27,USA,,SRA (1/3),https://www.ncbi.nlm.nih.gov/bioproject/PRJNA310879,NA,,Lab,~500,,,Brassica_oleracea
PRJNA327111,Pinus,Hannah,12,Pinus pinaster,40.2,-8.41,"Arganil and Oliveirra de Hospital,Portugal",,SRA (1/3),https://www.ncbi.nlm.nih.gov/bioproject/PRJNA327111,https://www.nature.com/articles/s41598-017-04141-6,,Field,602,,,Pinus
PRJEB18130,Santiria,Jeff,9,Santiria apiculata A.W. Benn. var. apiculata (Burseraceae),2.91,101.79,Malaysia,,ENA,https://www.ncbi.nlm.nih.gov/sra?linkname=bioproject_sra_all&from_uid=358365,https://link.springer.com/article/10.1007/s00248-017-1002-2,16S rRNA V3 (barcode 338F),Field,302,Y,,Santiria
PRJEB18130,Microdesmis,Jeff,9,Microdesmis caseariifolia Planch. ex Hook. f. (Pandaceae),2.91,101.79,Malaysia,,ENA,https://www.ncbi.nlm.nih.gov/sra?linkname=bioproject_sra_all&from_uid=358365,https://link.springer.com/article/10.1007/s00248-017-1002-2,16S rRNA V3 (barcode 338F),Field,302,Y,,Microdesmis
PRJEB18130,Rothmannia,Jeff,9,Rothmannia macrophylla (Hook. f.) Bremek. (Rubiaceae),2.91,101.79,Malaysia,,ENA,https://www.ncbi.nlm.nih.gov/sra?linkname=bioproject_sra_all&from_uid=358365,https://link.springer.com/article/10.1007/s00248-017-1002-2,16S rRNA V3 (barcode 338F),Field,302,Y,,Rothmannia
PRJNA286272,Vitis,Jeff,4,Vitis vinifera (grapes),13.1335,77.4889,"India (Bengaluru, India)",,ENA,https://www.ncbi.nlm.nih.gov/sra/?term=PRJNA286272,NA,NA,Lab,302,,,Vitis
PRJNA354831,Zea,Kat,3,Zea mays,39,116,China,,SRA,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA354831,NA,,,~300,,variable lengths,Zea
PRJNA343393,Paeonia_suffruticosa,Kat,,Paeonia suffruticosa,34.71666667,112.4,"Luoyang, China",,SRA,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA343393,https://www.sciencedirect.com/science/article/pii/S1517838216310541,,,~442,,,Paeonia_suffruticose
PRJNA343393,Paeonia_rockii,Kat,,Paeonia rockii,34.71666667,112.4,"Luoyang, China",,SRA,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA343393,https://www.sciencedirect.com/science/article/pii/S1517838216310541,,,~442,,,Paeonia_rockii
PRJNA360379,Oryza,Kat,1,Oriza sativa,22.956944,88.6108333,"Kolkata, West Bengal",,SRA,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA360379,https://www.sciencedirect.com/science/article/pii/S2213596017300314,,Field,500,,,Oryza
